Indnum,Group,Activity,Units,Consumption,Quality_of_Life_Importance__1_10,Name of Resource Used,Amount of Resource Used per Unit
605,4,TV/computer use,count,64.0,22.0,solar_powered__water_heater,1.0
607,1,Household heating => 70F,hours,9.0,73.0,solar_powered__water_heater,1.0
609,2,shower - long (> 3 min),count,13.0,86.0,solar_powered__water_heater,1.0
609,3,use of self-clean feature of electric oven,count,4.0,18.0,solar_powered__water_heater,1.0
616,1,Use of air conditioner,count,14.0,48.0,solar_powered__water_heater,1.0
617,1,Household heating => 70F,hours,9.0,78.0,solar_powered__water_heater,1.0
617,1,Use of heat pump,hours,-2.0,52.0,solar_powered__water_heater,1.0
619,2,shower - short,count,5.0,88.0,solar_powered__water_heater,1.0
620,3,use of  oven,count,8.0,35.0,solar_powered__water_heater,1.0
622,1,Household heating < 70F,count,6.0,60.0,solar_powered__water_heater,1.0
622,3,use of  oven,count,8.0,36.0,solar_powered__water_heater,1.0
622,4,TV/computer use,count,59.0,25.0,solar_powered__water_heater,1.0
624,3,use of self-clean feature of electric oven,count,4.0,12.0,solar_powered__water_heater,1.0
625,1,Household heating => 70F,hours,3.0,69.0,solar_powered__water_heater,1.0
625,1,Use of air conditioner,hours,17.0,50.0,solar_powered__water_heater,1.0
625,3,use of clothes washer,count,3.0,47.0,solar_powered__water_heater,1.0
629,2,shower - long (> 3 min),count,28.0,89.0,solar_powered__water_heater,1.0
630,2,wash-up,count,34.0,33.0,solar_powered__water_heater,1.0
632,4,TV/computer use,count,61.0,30.0,solar_powered__water_heater,1.0
633,2,wash-up,count,54.0,44.0,solar_powered__water_heater,1.0
633,3,use of dishwasher,count,16.0,20.0,solar_powered__water_heater,1.0
635,2,shower - long (> 3 min),count,34.0,85.0,solar_powered__water_heater,1.0
636,2,shower - long (> 3 min),count,19.0,77.0,solar_powered__water_heater,1.0
636,4,TV/computer use,count,58.0,31.0,solar_powered__water_heater,1.0
637,3,use of clothes washer,count,7.0,44.0,solar_powered__water_heater,1.0
638,3,use of self-clean feature of electric oven,count,3.0,20.0,solar_powered__water_heater,1.0
640,2,shower - long (> 3 min),count,30.0,85.0,solar_powered__water_heater,1.0
641,2,shower - long (> 3 min),count,32.0,87.0,solar_powered__water_heater,1.0
642,3,use of clothes washer,count,2.0,37.0,solar_powered__water_heater,1.0
643,2,wash-up,count,32.0,42.0,solar_powered__water_heater,1.0
645,1,Use of air conditioner,hours,16.0,56.0,solar_powered__water_heater,1.0
646,3,use of clothes washer,count,8.0,27.0,solar_powered__water_heater,1.0
647,2,shower - short,count,7.0,97.0,solar_powered__water_heater,1.0
649,3,use of clothes dryer,count,4.0,21.0,solar_powered__water_heater,1.0
654,3,use of clothes washer,count,6.0,46.0,solar_powered__water_heater,1.0
656,1,Household heating => 70F,count,8.0,87.0,solar_powered__water_heater,1.0
656,3,use of clothes washer,count,4.0,42.0,solar_powered__water_heater,1.0
658,2,shower - long (> 3 min),count,15.0,75.0,solar_powered__water_heater,1.0
661,1,Household heating => 70F,hours,9.0,72.0,solar_powered__water_heater,1.0
662,3,use of clothes dryer,count,2.0,16.0,solar_powered__water_heater,1.0
663,2,wash-up,count,40.0,40.0,solar_powered__water_heater,1.0
663,3,use of self-clean feature of electric oven,count,4.0,21.0,solar_powered__water_heater,1.0
667,3,use of self-clean feature of electric oven,count,4.0,21.0,solar_powered__water_heater,1.0
669,1,Household heating < 70F,hours,3.0,93.0,solar_powered__water_heater,1.0
669,3,use of  oven,count,11.0,41.0,solar_powered__water_heater,1.0
670,2,wash-up,count,52.0,30.0,solar_powered__water_heater,1.0
671,1,Household heating => 70F,hours,2.0,70.0,solar_powered__water_heater,1.0
673,3,use of self-clean feature of electric oven,count,1.0,19.0,solar_powered__water_heater,1.0
674,3,use of self-clean feature of electric oven,count,1.0,19.0,solar_powered__water_heater,1.0
676,1,Household heating => 70F,count,6.0,82.0,solar_powered__water_heater,1.0
680,3,use of self-clean feature of electric oven,count,1.0,18.0,solar_powered__water_heater,1.0
680,4,TV/computer use,count,59.0,26.0,solar_powered__water_heater,1.0
683,2,wash-up,count,37.0,33.0,solar_powered__water_heater,1.0
685,1,Use of air conditioner,hours,28.0,56.0,solar_powered__water_heater,1.0
685,2,wash-up,count,38.0,27.0,solar_powered__water_heater,1.0
685,3,use of clothes dryer,count,4.0,18.0,solar_powered__water_heater,1.0
692,4,TV/computer use,count,60.0,29.0,solar_powered__water_heater,1.0
694,3,use of clothes dryer,count,3.0,15.0,solar_powered__water_heater,1.0
695,3,use of clothes dryer,count,1.0,20.0,solar_powered__water_heater,1.0
697,4,TV/computer use,count,63.0,24.0,solar_powered__water_heater,1.0
698,3,use of clothes washer,count,2.0,37.0,solar_powered__water_heater,1.0
698,3,use of  oven,count,10.0,38.0,solar_powered__water_heater,1.0
699,2,shower - short,count,5.0,89.0,solar_powered__water_heater,1.0
699,3,use of clothes washer,count,3.0,31.0,solar_powered__water_heater,1.0
702,1,Household heating < 70F,count,2.0,80.0,solar_powered__water_heater,1.0
703,3,use of clothes washer,count,7.0,32.0,solar_powered__water_heater,1.0
704,2,shower - short,count,8.0,94.0,solar_powered__water_heater,1.0
707,2,shower - short,count,7.0,98.0,solar_powered__water_heater,1.0
708,1,Use of air conditioner,count,22.0,43.0,solar_powered__water_heater,1.0
709,2,shower - short,count,2.0,96.0,solar_powered__water_heater,1.0
709,3,use of  oven,count,12.0,40.0,solar_powered__water_heater,1.0
710,3,use of  oven,count,9.0,35.0,solar_powered__water_heater,1.0
712,3,use of  oven,count,9.0,32.0,solar_powered__water_heater,1.0
713,1,Use of air conditioner,hours,17.0,45.0,solar_powered__water_heater,1.0
713,3,use of clothes washer,count,2.0,31.0,solar_powered__water_heater,1.0
714,2,shower - long (> 3 min),count,17.0,72.0,solar_powered__water_heater,1.0
715,1,Use of air conditioner,hours,16.0,49.0,solar_powered__water_heater,1.0
720,1,Use of air conditioner,count,25.0,53.0,solar_powered__water_heater,1.0
722,1,Use of air conditioner,count,29.0,44.0,solar_powered__water_heater,1.0
722,2,shower - long (> 3 min),count,34.0,80.0,solar_powered__water_heater,1.0
723,2,wash-up,count,38.0,30.0,solar_powered__water_heater,1.0
724,3,use of  oven,count,8.0,32.0,solar_powered__water_heater,1.0
725,2,shower - long (> 3 min),count,31.0,86.0,solar_powered__water_heater,1.0
725,3,use of  oven,count,11.0,41.0,solar_powered__water_heater,1.0
727,1,Household heating < 70F,hours,5.0,65.0,solar_powered__water_heater,1.0
730,2,shower - long (> 3 min),count,17.0,87.0,solar_powered__water_heater,1.0
732,1,Household heating < 70F,count,8.0,64.0,solar_powered__water_heater,1.0
734,4,TV/computer use,count,60.0,31.0,solar_powered__water_heater,1.0
736,4,TV/computer use,count,63.0,30.0,solar_powered__water_heater,1.0
737,3,use of clothes dryer,count,3.0,20.0,solar_powered__water_heater,1.0
738,1,Household heating < 70F,count,3.0,85.0,solar_powered__water_heater,1.0
742,1,Use of heat pump,count,-4.0,47.0,solar_powered__water_heater,1.0
742,2,wash-up,count,38.0,29.0,solar_powered__water_heater,1.0
744,3,use of clothes dryer,count,4.0,20.0,solar_powered__water_heater,1.0
744,3,use of self-clean feature of electric oven,count,4.0,13.0,solar_powered__water_heater,1.0
746,3,use of dishwasher,count,10.0,25.0,solar_powered__water_heater,1.0
747,2,shower - short,count,8.0,82.0,solar_powered__water_heater,1.0
749,3,use of  oven,count,9.0,32.0,solar_powered__water_heater,1.0
752,1,Use of air conditioner,count,28.0,47.0,solar_powered__water_heater,1.0
754,3,use of self-clean feature of electric oven,count,3.0,16.0,solar_powered__water_heater,1.0
754,4,TV/computer use,count,62.0,31.0,solar_powered__water_heater,1.0
755,3,use of clothes dryer,count,2.0,20.0,solar_powered__water_heater,1.0
756,1,Household heating < 70F,count,2.0,63.0,solar_powered__water_heater,1.0
758,3,use of clothes washer,count,7.0,36.0,solar_powered__water_heater,1.0
759,2,shower - long (> 3 min),count,39.0,83.0,solar_powered__water_heater,1.0
759,3,use of self-clean feature of electric oven,count,2.0,15.0,solar_powered__water_heater,1.0
760,2,shower - short,count,7.0,86.0,solar_powered__water_heater,1.0
761,1,Household heating => 70F,hours,6.0,64.0,solar_powered__water_heater,1.0
761,1,Household heating < 70F,hours,8.0,62.0,solar_powered__water_heater,1.0
761,2,shower - short,count,8.0,98.0,solar_powered__water_heater,1.0
761,3,use of self-clean feature of electric oven,count,1.0,20.0,solar_powered__water_heater,1.0
764,3,use of self-clean feature of electric oven,count,2.0,12.0,solar_powered__water_heater,1.0
767,2,wash-up,count,54.0,38.0,solar_powered__water_heater,1.0
771,1,Household heating => 70F,hours,9.0,73.0,solar_powered__water_heater,1.0
772,2,wash-up,count,32.0,40.0,solar_powered__water_heater,1.0
775,2,wash-up,count,46.0,39.0,solar_powered__water_heater,1.0
777,1,Household heating => 70F,hours,8.0,77.0,solar_powered__water_heater,1.0
777,3,use of clothes washer,count,5.0,28.0,solar_powered__water_heater,1.0
785,3,use of clothes dryer,count,3.0,21.0,solar_powered__water_heater,1.0
788,2,shower - long (> 3 min),count,31.0,82.0,solar_powered__water_heater,1.0
789,1,Household heating => 70F,hours,5.0,78.0,solar_powered__water_heater,1.0
790,2,shower - long (> 3 min),count,20.0,91.0,solar_powered__water_heater,1.0
791,3,use of  oven,count,10.0,33.0,solar_powered__water_heater,1.0
792,2,shower - short,count,4.0,93.0,solar_powered__water_heater,1.0
793,3,use of self-clean feature of electric oven,count,3.0,18.0,solar_powered__water_heater,1.0
794,3,use of clothes washer,count,8.0,35.0,solar_powered__water_heater,1.0
795,3,use of self-clean feature of electric oven,count,2.0,12.0,solar_powered__water_heater,1.0
799,3,use of clothes washer,count,2.0,42.0,solar_powered__water_heater,1.0
800,1,Household heating => 70F,count,1.0,70.0,solar_powered__water_heater,1.0
800,3,use of clothes washer,count,2.0,29.0,solar_powered__water_heater,1.0
801,2,shower - long (> 3 min),count,17.0,75.0,solar_powered__water_heater,1.0
801,4,TV/computer use,count,64.0,22.0,solar_powered__water_heater,1.0
802,3,use of self-clean feature of electric oven,count,3.0,15.0,solar_powered__water_heater,1.0
803,2,shower - long (> 3 min),count,21.0,79.0,solar_powered__water_heater,1.0
804,2,shower - long (> 3 min),count,14.0,85.0,solar_powered__water_heater,1.0
805,2,shower - short,count,3.0,98.0,solar_powered__water_heater,1.0
805,3,use of  oven,count,10.0,33.0,solar_powered__water_heater,1.0
807,2,wash-up,count,43.0,33.0,solar_powered__water_heater,1.0
808,1,Household heating => 70F,count,10.0,64.0,solar_powered__water_heater,1.0
809,3,use of  oven,count,11.0,39.0,solar_powered__water_heater,1.0
810,2,wash-up,count,44.0,27.0,solar_powered__water_heater,1.0
814,1,Household heating < 70F,count,7.0,89.0,solar_powered__water_heater,1.0
816,4,TV/computer use,count,64.0,22.0,solar_powered__water_heater,1.0
819,2,wash-up,count,34.0,35.0,solar_powered__water_heater,1.0
821,1,Use of air conditioner,hours,16.0,39.0,solar_powered__water_heater,1.0
822,1,Household heating < 70F,count,8.0,85.0,solar_powered__water_heater,1.0
822,3,use of clothes dryer,count,1.0,21.0,solar_powered__water_heater,1.0
823,1,Use of heat pump,hours,-2.0,41.0,solar_powered__water_heater,1.0
825,2,shower - short,count,7.0,91.0,solar_powered__water_heater,1.0
826,2,shower - long (> 3 min),count,30.0,84.0,solar_powered__water_heater,1.0
828,3,use of self-clean feature of electric oven,count,4.0,11.0,solar_powered__water_heater,1.0
829,1,Household heating => 70F,hours,7.0,73.0,solar_powered__water_heater,1.0
829,2,wash-up,count,37.0,34.0,solar_powered__water_heater,1.0
830,1,Household heating => 70F,count,1.0,68.0,solar_powered__water_heater,1.0
830,2,shower - short,count,8.0,83.0,solar_powered__water_heater,1.0
831,1,Use of air conditioner,hours,25.0,51.0,solar_powered__water_heater,1.0
831,2,bath,count,3.0,11.0,solar_powered__water_heater,1.0
832,1,Household heating => 70F,count,3.0,84.0,solar_powered__water_heater,1.0
833,3,use of clothes washer,count,7.0,43.0,solar_powered__water_heater,1.0
834,1,Household heating => 70F,count,9.0,79.0,solar_powered__water_heater,1.0
837,1,Household heating < 70F,hours,7.0,76.0,solar_powered__water_heater,1.0
841,2,shower - long (> 3 min),count,38.0,83.0,solar_powered__water_heater,1.0
842,3,use of clothes dryer,count,4.0,14.0,solar_powered__water_heater,1.0
842,3,use of self-clean feature of electric oven,count,3.0,17.0,solar_powered__water_heater,1.0
844,2,shower - long (> 3 min),count,14.0,91.0,solar_powered__water_heater,1.0
846,2,shower - short,count,3.0,83.0,solar_powered__water_heater,1.0
847,3,use of self-clean feature of electric oven,count,3.0,14.0,solar_powered__water_heater,1.0
850,1,Household heating < 70F,count,6.0,72.0,solar_powered__water_heater,1.0
851,2,shower - short,count,2.0,86.0,solar_powered__water_heater,1.0
852,1,Use of air conditioner,count,26.0,41.0,solar_powered__water_heater,1.0
853,3,use of self-clean feature of electric oven,count,4.0,19.0,solar_powered__water_heater,1.0
854,3,use of clothes dryer,count,3.0,13.0,solar_powered__water_heater,1.0
855,1,Use of air conditioner,hours,21.0,38.0,solar_powered__water_heater,1.0
856,1,Use of air conditioner,count,17.0,52.0,solar_powered__water_heater,1.0
856,3,use of self-clean feature of electric oven,count,3.0,20.0,solar_powered__water_heater,1.0
858,1,Use of air conditioner,count,20.0,57.0,solar_powered__water_heater,1.0
858,2,wash-up,count,52.0,42.0,solar_powered__water_heater,1.0
859,1,Use of air conditioner,hours,15.0,51.0,solar_powered__water_heater,1.0
860,3,use of self-clean feature of electric oven,count,4.0,15.0,solar_powered__water_heater,1.0
865,3,use of clothes washer,count,2.0,35.0,solar_powered__water_heater,1.0
868,1,Household heating => 70F,count,4.0,77.0,solar_powered__water_heater,1.0
868,1,Household heating < 70F,count,2.0,92.0,solar_powered__water_heater,1.0
868,1,Use of air conditioner,count,22.0,38.0,solar_powered__water_heater,1.0
869,2,wash-up,count,44.0,37.0,solar_powered__water_heater,1.0
871,3,use of  oven,count,11.0,33.0,solar_powered__water_heater,1.0
872,2,wash-up,count,51.0,30.0,solar_powered__water_heater,1.0
873,1,Household heating < 70F,hours,7.0,87.0,solar_powered__water_heater,1.0
874,3,use of  oven,count,9.0,41.0,solar_powered__water_heater,1.0
878,1,Household heating < 70F,count,2.0,90.0,solar_powered__water_heater,1.0
878,1,Use of air conditioner,count,16.0,55.0,solar_powered__water_heater,1.0
878,2,shower - short,count,3.0,82.0,solar_powered__water_heater,1.0
878,2,shower - long (> 3 min),count,18.0,89.0,solar_powered__water_heater,1.0
878,3,use of  oven,count,8.0,31.0,solar_powered__water_heater,1.0
884,1,Household heating => 70F,count,7.0,86.0,solar_powered__water_heater,1.0
884,2,shower - long (> 3 min),count,26.0,72.0,solar_powered__water_heater,1.0
886,3,use of clothes dryer,count,3.0,20.0,solar_powered__water_heater,1.0
890,1,Use of air conditioner,count,25.0,41.0,solar_powered__water_heater,1.0
891,2,shower - short,count,6.0,92.0,solar_powered__water_heater,1.0
891,2,shower - long (> 3 min),count,13.0,76.0,solar_powered__water_heater,1.0
893,1,Use of air conditioner,hours,26.0,41.0,solar_powered__water_heater,1.0
900,2,shower - short,count,6.0,90.0,solar_powered__water_heater,1.0
902,2,shower - short,count,4.0,86.0,solar_powered__water_heater,1.0
902,2,shower - long (> 3 min),count,40.0,75.0,solar_powered__water_heater,1.0
904,1,Use of air conditioner,count,12.0,44.0,solar_powered__water_heater,1.0
906,2,shower - long (> 3 min),count,22.0,73.0,solar_powered__water_heater,1.0
906,3,use of clothes dryer,count,3.0,18.0,solar_powered__water_heater,1.0
907,3,use of clothes dryer,count,4.0,15.0,solar_powered__water_heater,1.0
908,3,use of  oven,count,10.0,34.0,solar_powered__water_heater,1.0
909,2,shower - long (> 3 min),count,27.0,82.0,solar_powered__water_heater,1.0
910,2,wash-up,count,42.0,29.0,solar_powered__water_heater,1.0
911,3,use of clothes dryer,count,4.0,20.0,solar_powered__water_heater,1.0
912,4,TV/computer use,count,59.0,25.0,solar_powered__water_heater,1.0
913,1,Household heating => 70F,hours,4.0,75.0,solar_powered__water_heater,1.0
915,1,Household heating < 70F,hours,2.0,93.0,solar_powered__water_heater,1.0
917,3,use of  oven,count,11.0,38.0,solar_powered__water_heater,1.0
920,4,TV/computer use,count,62.0,21.0,solar_powered__water_heater,1.0
924,1,Household heating => 70F,count,8.0,67.0,solar_powered__water_heater,1.0
926,1,Use of air conditioner,count,20.0,43.0,solar_powered__water_heater,1.0
929,2,wash-up,count,41.0,30.0,solar_powered__water_heater,1.0
929,3,use of clothes washer,count,8.0,46.0,solar_powered__water_heater,1.0
930,4,TV/computer use,count,64.0,31.0,solar_powered__water_heater,1.0
931,4,TV/computer use,count,62.0,29.0,solar_powered__water_heater,1.0
933,2,shower - long (> 3 min),count,40.0,89.0,solar_powered__water_heater,1.0
936,2,shower - long (> 3 min),count,21.0,78.0,solar_powered__water_heater,1.0
936,3,use of self-clean feature of electric oven,count,2.0,12.0,solar_powered__water_heater,1.0
